tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7301550	tvMiniSeries	Beyond the Fringe: The Crate	Beyond the Fringe: The Crate	0	2014	2014	\N	Horror
tt0194777	tvSeries	Les aventures de la courte échelle	Les aventures de la courte échelle	0	1996	1997	22	Adventure,Crime,Family
tt9878368	tvMiniSeries	History of Aviation	Histoire de l'Aviation	0	2019	2019	360	Documentary,History,War
tt23837006	tvSeries	Heavenly expanse	Heavenly expanse	0	2005	2005	45	Drama
tt7123176	tvSeries	Old Timey Talk	Old Timey Talk	0	2010	2011	\N	Comedy
tt0136684	tvSeries	Wipeout	Wipeout	0	1988	1989	30	Game-Show
tt4742876	tvSeries	TVF Pitchers	TVF Pitchers	0	2015	2022	40	Comedy,Drama
tt5868326	tvSeries	Homestuck	Homestuck	0	2009	2016	\N	Action,Adventure,Animation
tt5185764	tvMiniSeries	People for Tomorrow	People for Tomorrow	0	1971	1971	30	Family
tt13527546	tvMiniSeries	The Night Logan Woke Up	La nuit où Laurier Gaudreault s'est réveillé	0	2022	2022	293	Drama,Thriller
tt10197894	tvSeries	Sorángel	Sorángel	0	1981	1982	60	Drama,Romance
tt0058832	tvSeries	The New 3 Stooges	The New 3 Stooges	0	1965	1965	27	Animation,Comedy,Family
tt0085065	tvSeries	Not Necessarily the News	Not Necessarily the News	0	1982	1990	\N	Comedy
tt15316770	tvSeries	Primeira Pedra	Primeira Pedra	0	2018	2018	\N	Documentary
tt7008604	tvSeries	To kalathi me ta lathi	To kalathi me ta lathi	0	1987	1989	\N	Family
tt11221678	tvSeries	Verborgen Verleden van Nederland	Verborgen Verleden van Nederland	0	2019	2019	45	Documentary
tt0495779	tvSeries	2020	2020	0	2003	2004	30	Comedy
tt23053814	tvSeries	45 mastoroi, 60 mathitades	45 mastoroi, 60 mathitades	0	2022	2023	30	Documentary
tt27667164	tvMiniSeries	Il Cammino dell'Appia Antica	Il Cammino dell'Appia Antica	0	2015	2015	\N	Documentary
tt11696314	tvSeries	Remag Daily	Remag Daily	0	2013	2013	5	News,Talk-Show
tt0840931	tvSeries	The Prophet	O Profeta	0	2006	2007	\N	Drama,Fantasy,Romance
tt7749444	tvSeries	Petman: Internet Series	Petman: Internet Series	0	2017	2017	2	Action,Adventure,Drama
tt8312524	tvSeries	In corso d'opera	In corso d'opera	0	1996	1997	\N	Game-Show,Music
tt9421436	tvMiniSeries	Les secrets	Les secrets	0	2018	2018	\N	Crime,Drama,Mystery
tt2746582	tvSeries	Life of the Town	Life of the Town	0	2009	2010	30	Reality-TV
tt4265410	tvSeries	Now Generation	Geração Brasil	0	2014	2015	\N	Comedy,Drama,Mystery
tt19730342	tvSeries	Doctor Who: The Hollows of Time	Doctor Who: The Hollows of Time	0	2010	2010	\N	Sci-Fi
tt2401798	tvSeries	The Vault	The Vault	0	2011	2014	\N	Drama,Mystery,Thriller
tt14715118	tvMiniSeries	Million Dollar Listing: Ryan's Renovation	Million Dollar Listing: Ryan's Renovation	0	2021	2021	88	Reality-TV
tt20236032	tvSeries	Hacelo por mí	Hacelo por mí	0	1992	1993	\N	Music
tt0125648	tvSeries	Tales of the Unexpected	Tales of the Unexpected	0	1977	1977	60	Mystery,Sci-Fi,Thriller
tt10417566	tvSeries	Pontos nos Is	Pontos nos Is	0	2009	2010	\N	Talk-Show
tt23027312	tvSeries	Black Expats	Black Expats	0	2021	2021	\N	News
tt3317336	tvSeries	Huérfanos Electrónicos	Huérfanos Electrónicos	0	2006	2007	\N	Animation,Comedy,Fantasy
tt18925674	tvSeries	Mon précieux déchet	Mon précieux déchet	0	2019	2020	\N	Documentary
tt14408808	tvMiniSeries	Gymnastics is Life!	Gymnastics is Life!	0	2019	2021	\N	Biography
tt10583270	tvSeries	Célébrons notre histoire	Célébrons notre histoire	0	2017	2017	\N	Family,History,Short
tt0098912	tvSeries	The Silver Chair	The Silver Chair	0	1990	1990	30	Adventure,Family,Fantasy
tt0190186	tvSeries	Julens hjältar	Julens hjältar	0	1999	1999	15	Family
tt2033584	tvSeries	Daikon no hana	Daikon no hana	0	1970	1977	56	Comedy,Drama
tt4070424	tvMiniSeries	Voyna v Krymu. Vse v dymu	Voyna v Krymu. Vse v dymu	0	2005	2005	160	History
tt12325270	tvSeries	Crossroads in Asia	Crossroads in Asia	0	1954	1954	30	Talk-Show
tt27122245	tvMiniSeries	Paul Whitehouse: Our Troubled Rivers	Paul Whitehouse: Our Troubled Rivers	0	2023	2023	\N	Documentary
tt8451820	tvSeries	Kokkini klosti	Kokkini klosti	0	2002	2003	6	Family,Short
tt1990663	tvSeries	Mañanas informales	Mañanas informales	0	2005	2008	\N	News,Talk-Show
tt9607654	tvSeries	The Gym	The Gym	0	2002	2002	\N	\N
tt8455716	tvMiniSeries	Les Petites Histoires de la Table 11	Les Petites Histoires de la Table 11	0	2016	2016	5	Comedy
tt22307520	tvMiniSeries	Heiraten in Europa!	Heiraten in Europa!	0	2022	2022	\N	Documentary
tt18115344	tvSeries	No Green No Love	No Green No Love	0	2018	2018	\N	Horror,Romance
tt7818952	tvSeries	National Report TV	National Report TV	0	2014	2014	\N	Comedy
tt1917876	tvMiniSeries	Isla flotante	Isla flotante	0	2006	2006	45	Comedy
tt28482009	tvMiniSeries	Our Guy in Colombia	Our Guy in Colombia	0	2023	2023	\N	Documentary
tt13280838	tvSeries	The House Arrest of Us	The House Arrest of Us	0	2020	2021	\N	Comedy,Romance
tt17505880	tvSeries	English Numbers	English Numbers	0	2017	2017	\N	Family
tt3038384	tvSeries	Golan the Insatiable	Golan the Insatiable	0	2013	2015	15	Animation,Comedy,Fantasy
tt0208649	tvSeries	Ugeavisen	Ugeavisen	0	1990	1991	\N	Drama
tt4040676	tvSeries	Allen's Soothers Boombastic	Allen's Soothers Boombastic	0	2000	2000	1170	Musical
tt0462137	tvSeries	Soap World	Soap World	0	1982	1984	30	\N
tt7756146	tvMiniSeries	Barry Mickey the Ultimate Human	Barry Mickey the Ultimate Human	0	2017	2017	\N	Comedy
